Source.Name,Column1,Department.Name,Strategic.Goal,Measure.Title,Measure.Description,Measure.Methodology,Measure.Data.Type,Fiscal.Year,End.Calendar.Year,Target,Mid.Year.Result,Mid.Year.Projection,Full.Year.Result,Data.Notes,post_covid,pre_covid
LegionOfHonor.csv,4073,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2025-26,2026,300000,,,,No public data notes.,1,0
LegionOfHonor.csv,4074,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2026-27,2027,250000,,,,No public data notes.,1,0
PublicLibraries.csv,7218,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2014-15,2015,7780500,,,,,0,1
PublicLibraries.csv,7219,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2015-16,2016,6600000,,,,,0,1
PublicLibraries.csv,7220,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2016-17,2017,6700000,,,6210525,,0,1
PublicLibraries.csv,7221,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2017-18,2018,6700000,,,6123244,,0,1
PublicLibraries.csv,7222,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2018-19,2019,6000000,,,5921679,,0,1
PublicLibraries.csv,7223,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2019-20,2020,5954721,2746746,5493492,3817570,All library facilities closed in March 2020 in response to the pandemic and public health orders. The public had no access to library facilities through the end of FY20.,0,0
PublicLibraries.csv,7224,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2020-21,2021,5216836,123080,322609,451567,"All SFPL facilities remained closed under the public health orders until May 2021. Between August 2020 and May 2021, SFPL patrons retrieved physical materials via SFPL To Go, SFPL's front door pickup service, but did not enter library facilities. In May 2021, SFPL started reopening for limited in-person services with Main Library, Chinatown Branch, and Mission Bay Branch.",0,0
PublicLibraries.csv,7225,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2021-22,2022,2300000,1025299,2300000,2425569,,1,0
PublicLibraries.csv,7226,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2022-23,2023,3000000,1599883,3050000,3398569,SFPL had greater than anticipated return from patrons visiting the libraries,1,0
PublicLibraries.csv,7227,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2023-24,2024,3150000,1898028,3500000,3976556,No public data notes.,1,0
PublicLibraries.csv,7228,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2024-25,2025,3307500,2057578,4218035,4320791,No public data notes.,1,0
PublicLibraries.csv,7229,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2025-26,2026,4471117,,,,No public data notes.,1,0
PublicLibraries.csv,7230,PUBLIC LIBRARY,Be the Premier Public Library in the Nation,"Number of persons entering San Francisco Main and Branch libraries, Bookmobiles, Jail and Re-Entry Services and Juvenile Justice Center","This measure represents the number of visitors entering the San Francisco Public Library�s (SFPL) Main Library and branch libraries, including Bookmobiles, Jail and Reentry Services, and the Juvenile Justice Center. The number of library visitors is an important indicator of how San Francisco's libraries are used.   https://sfgov.org/scorecards/livability/library-total-monthly-visitors",,Numeric,FY2026-27,2027,4739384,,,,No public data notes.,1,0
